2026/08/22 08:17:02.784, 1, 23 %, 21027 MiB
2026/08/22 08:17:07.785, 0, 0 %, 13473 MiB
2026/08/22 08:17:07.824, 1, 80 %, 21093 MiB
2026/08/22 08:17:12.824, 0, 99 %, 14625 MiB
2026/08/22 08:17:12.825, 1, 84 %, 20997 MiB
2026/08/22 08:17:17.825, 0, 50 %, 16353 MiB
2026/08/22 08:17:17.826, 1, 97 %, 21093 MiB
2026/08/22 08:17:22.827, 0, 53 %, 17281 MiB
2026/08/22 08:17:22.827, 1, 83 %, 21095 MiB
2026/08/22 08:17:27.828, 0, 98 %, 17537 MiB
2026/08/22 08:17:27.828, 1, 87 %, 21031 MiB
2026/08/22 08:17:32.829, 0, 100 %, 21155 MiB
2026/08/22 08:17:32.829, 1, 93 %, 21191 MiB
2026/08/22 08:17:37.829, 0, 77 %, 19331 MiB
2026/08/22 08:17:37.831, 1, 64 %, 21191 MiB
2026/08/22 08:17:42.831, 0, 85 %, 19651 MiB
2026/08/22 08:17:42.832, 1, 89 %, 21063 MiB
2026/08/22 08:17:47.833, 0, 72 %, 20707 MiB
2026/08/22 08:17:47.833, 1, 99 %, 21031 MiB
2026/08/22 08:17:52.834, 0, 99 %, 22563 MiB
2026/08/22 08:17:52.835, 1, 100 %, 21063 MiB
2026/08/22 08:17:57.836, 0, 98 %, 21155 MiB
2026/08/22 08:17:57.836, 1, 16 %, 21191 MiB
2026/08/22 08:18:02.837, 0, 52 %, 22627 MiB
2026/08/22 08:18:02.838, 1, 36 %, 21063 MiB
2026/08/22 08:18:07.839, 0, 59 %, 22979 MiB
2026/08/22 08:18:07.840, 1, 75 %, 21095 MiB
2026/08/22 08:18:12.841, 0, 13 %, 23907 MiB
2026/08/22 08:18:12.842, 1, 80 %, 21095 MiB
2026/08/22 08:18:17.843, 0, 99 %, 24035 MiB
2026/08/22 08:18:17.843, 1, 96 %, 21095 MiB
2026/08/22 08:18:22.844, 0, 68 %, 23555 MiB
2026/08/22 08:18:22.844, 1, 35 %, 21031 MiB
2026/08/22 08:18:27.845, 0, 62 %, 23683 MiB
2026/08/22 08:18:27.846, 1, 78 %, 21031 MiB
