2026/08/22 07:26:10.834, 0, 100 %, 11871 MiB
2026/08/22 07:26:10.835, 1, 45 %, 19395 MiB
2026/08/22 07:26:15.837, 0, 0 %, 12735 MiB
2026/08/22 07:26:15.837, 1, 100 %, 19299 MiB
2026/08/22 07:26:20.837, 0, 100 %, 13215 MiB
2026/08/22 07:26:20.838, 1, 87 %, 19331 MiB
2026/08/22 07:26:25.839, 0, 100 %, 14079 MiB
2026/08/22 07:26:25.839, 1, 92 %, 19651 MiB
2026/08/22 07:26:30.840, 0, 100 %, 14815 MiB
2026/08/22 07:26:30.841, 1, 100 %, 18979 MiB
2026/08/22 07:26:35.842, 0, 0 %, 15679 MiB
2026/08/22 07:26:35.842, 1, 0 %, 18947 MiB
2026/08/22 07:26:40.843, 0, 100 %, 15999 MiB
2026/08/22 07:26:40.844, 1, 100 %, 19139 MiB
2026/08/22 07:26:45.845, 0, 100 %, 16703 MiB
2026/08/22 07:26:45.847, 1, 100 %, 19203 MiB
2026/08/22 07:26:50.848, 0, 55 %, 16703 MiB
2026/08/22 07:26:50.848, 1, 100 %, 19171 MiB
2026/08/22 07:26:55.849, 0, 99 %, 17823 MiB
2026/08/22 07:26:55.851, 1, 81 %, 19171 MiB
2026/08/22 07:27:00.852, 0, 70 %, 19007 MiB
2026/08/22 07:27:00.853, 1, 97 %, 18819 MiB
2026/08/22 07:27:05.854, 0, 100 %, 20351 MiB
2026/08/22 07:27:05.855, 1, 100 %, 18499 MiB
2026/08/22 07:27:10.856, 0, 100 %, 20447 MiB
2026/08/22 07:27:10.857, 1, 100 %, 18563 MiB
2026/08/22 07:27:15.858, 0, 100 %, 21087 MiB
2026/08/22 07:27:15.859, 1, 95 %, 18307 MiB
2026/08/22 07:27:20.860, 0, 100 %, 20927 MiB
2026/08/22 07:27:20.861, 1, 87 %, 18339 MiB
2026/08/22 07:27:25.862, 0, 99 %, 21503 MiB
2026/08/22 07:27:25.863, 1, 99 %, 18371 MiB
2026/08/22 07:27:30.864, 0, 100 %, 21823 MiB
2026/08/22 07:27:30.865, 1, 89 %, 18403 MiB
2026/08/22 07:27:35.866, 0, 92 %, 21855 MiB
2026/08/22 07:27:35.867, 1, 100 %, 18467 MiB
2026/08/22 07:27:40.868, 0, 93 %, 23231 MiB
2026/08/22 07:27:40.869, 1, 30 %, 18595 MiB
2026/08/22 07:27:45.870, 0, 100 %, 22943 MiB
2026/08/22 07:27:45.871, 1, 100 %, 18307 MiB
2026/08/22 07:27:50.873, 0, 77 %, 22879 MiB
2026/08/22 07:27:50.874, 1, 100 %, 18371 MiB
2026/08/22 07:27:55.875, 0, 100 %, 22977 MiB
2026/08/22 07:27:55.875, 1, 100 %, 18373 MiB
2026/08/22 07:28:00.876, 0, 100 %, 23201 MiB
2026/08/22 07:28:00.877, 1, 100 %, 18725 MiB
2026/08/22 07:28:05.877, 0, 91 %, 23361 MiB
2026/08/22 07:28:05.877, 1, 100 %, 18663 MiB
2026/08/22 07:28:10.877, 0, 100 %, 23393 MiB
2026/08/22 07:28:10.878, 1, 100 %, 18567 MiB
2026/08/22 07:28:15.878, 0, 100 %, 23041 MiB
2026/08/22 07:28:15.879, 1, 100 %, 18983 MiB
2026/08/22 07:28:20.880, 0, 100 %, 22753 MiB
2026/08/22 07:28:20.882, 1, 100 %, 18887 MiB
2026/08/22 07:28:25.883, 0, 100 %, 22657 MiB
2026/08/22 07:28:25.884, 1, 100 %, 19239 MiB
2026/08/22 07:28:30.885, 0, 74 %, 22177 MiB
